,ID,Name,Frequency [MHz],Bandwidth [kHz]/Baud,Status,Description,Source,Orbit
273,47961,3B5GSAT,None,None,Active,nan,Space-Track,LEO
274,47961,3B5GSAT,437.13,None,None,None,AmSAT,None
275,47961,3B5GSAT (SATELIOT 1),None,None,Active,None,CelesTrak,LEO
276,43781,3CAT-1,437.25,None,Inactive,9600bps BPSK CW,AmSAT,None
277,43728,3CAT-1,437.25,None,inactive,CW Beacon,SatNOGS,None
278,43781,3CAT-1,437.25,None,Inactive,"Beacon, 9600bps BPSK CW",AmSAT,None
279,43728,3CAT-1,437.25,9600.0,inactive,FSK9k6 TLM,SatNOGS,None
280,41732,3CAT-2,None,None,Active,nan,Space-Track,LEO
281,41732,3CAT-2,2401.000,None,Inactive,9600bps BPSK / 100kbps GMSK,AmSAT,None
282,41732,3CAT-2,2401.0,115200.0,active,Mode S Telemetry,SatNOGS,None
283,41732,3CAT-2,145.97,9600.0,active,Mode V Telemetry,SatNOGS,None
284,41732,3CAT-2,145.970,None,Inactive,9600bps BPSK / 100kbps GMSK,AmSAT,None
285,46292,3CAT-5/A (TYVAK-0161),None,None,Active,nan,Space-Track,LEO
286,46292,"3CAT-5/A, FSSCat A",401.337,None,active,Downlink,SatNOGS,None
287,46293,3CAT-5/B (TYVAK-0162),None,None,Active,nan,Space-Track,LEO
288,46293,"3CAT-5/B, FSSCat B",401.377,None,active,Downlink,SatNOGS,None
289,nan,4M-LXS,145.98,None,Deep Space,WSJT-JT65B,AmSAT,None
290,1778,A-1 (ASTERIX),None,None,Active,nan,Space-Track,MEO
291,57185,A-SEANSAT-PG 1,None,None,Active,None,CelesTrak,LEO
292,57197,A-SEANSAT-PG1,401.633828,2400.0,active,Mode U - GMSK 2k4 USP FEC,SatNOGS,None
293,57197,A-SEANSAT-PG1,401.523,2400.0,active,Mode U - GMSK 2k4 USP FEC,SatNOGS,None
294,57197,A-SEANSAT-PG1,401.5,None,invalid,Mode U - Transmitter,SatNOGS,None
295,57197,A-SEANSAT-PG1,400.575,None,invalid,Mode U - Transmitter,SatNOGS,None
296,57185,A-SEANSAT-PG1,401.523,None,Unknown,2k4 GMSK_USP FM,AmSAT,None
297,57185,A-SEANSAT-PG1,401.500,None,Unknown,2k4 GMSK_USP FM,AmSAT,None
298,55107,AAC-AIS-SAT-1,None,None,Active,None,CelesTrak,MEO
299,55107,AAC-AIS-SAT-1,None,None,Active,nan,Space-Track,MEO
300,56996,AAC-AIS-SAT2,None,None,Active,nan,Space-Track,MEO
301,56996,AAC-AIS-SAT2,None,None,Active,None,CelesTrak,MEO
302,56225,AAC-HSI-SAT1,None,None,Active,None,CelesTrak,LEO
303,56225,AAC-HSI-SAT1,None,None,Active,nan,Space-Track,LEO
304,56995,AAC-HSI-SAT2,None,None,Active,nan,Space-Track,LEO
305,56995,AAC-HSI-SAT2,None,None,Active,None,CelesTrak,LEO
306,42775,AALTO 1,None,None,Active,nan,Space-Track,LEO
